id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401411090,Florida State,47,Duquesne,7,Bovada,57.0,-41.5,Florida State -41.5,-43.0,55.0,,
401411090,Florida State,47,Duquesne,7,William Hill (New Jersey),57,-42,Florida State -42,,,,
401411090,Florida State,47,Duquesne,7,consensus,57,-42,Florida State -42,,,,
401403853,Hawai'i,10,Vanderbilt,63,Bovada,54.5,9.5,Vanderbilt -9.5,4.5,55.0,250,-300
401403853,Hawai'i,10,Vanderbilt,63,William Hill (New Jersey),54.5,9,Vanderbilt -9,,,,
401403853,Hawai'i,10,Vanderbilt,63,consensus,54.5,9,Vanderbilt -9,,,,
401403853,Hawai'i,10,Vanderbilt,63,teamrankings,54.5,9.5,Vanderbilt -9.5,,,,
401405060,Minnesota,38,New Mexico State,0,Bovada,52.0,-36.0,Minnesota -36.0,-38.0,57.5,,
401405060,Minnesota,38,New Mexico State,0,William Hill (New Jersey),52.5,-36,Minnesota -36,,,,
401405060,Minnesota,38,New Mexico State,0,consensus,52.5,-36,Minnesota -36,,,,
401405060,Minnesota,38,New Mexico State,0,teamrankings,52.5,-36,Minnesota -36,,,,
401416569,Oklahoma State,58,Central Michigan,44,Bovada,58.0,-20.5,Oklahoma State -20.5,-18.5,59.5,-1800,850
401416569,Oklahoma State,58,Central Michigan,44,William Hill (New Jersey),57.5,-21.5,Oklahoma State -21.5,,,,
401416569,Oklahoma State,58,Central Michigan,44,consensus,58,-20.5,Oklahoma State -20.5,,,,
401416569,Oklahoma State,58,Central Michigan,44,teamrankings,58,-20.5,Oklahoma State -20.5,,,,
401411093,Wake Forest,44,VMI,10,Bovada,66.5,-33.5,Wake Forest -33.5,-31.5,67.5,,
401411093,Wake Forest,44,VMI,10,William Hill (New Jersey),66.5,-33,Wake Forest -33,,,,
401411093,Wake Forest,44,VMI,10,consensus,66.5,-33.5,Wake Forest -33.5,,,,
401426530,Florida Atlantic,43,Charlotte,13,Bovada,60.0,-7.0,Florida Atlantic -7.0,-5.5,57.5,-300,250
401426531,UTEP,13,North Texas,31,Bovada,54.0,1.5,North Texas -1.5,3.0,57.0,105,-125
401426531,UTEP,13,North Texas,31,William Hill (New Jersey),52.5,1,North Texas -1,,,,
401426531,UTEP,13,North Texas,31,consensus,52.5,1.5,North Texas -1.5,,,,
401426531,UTEP,13,North Texas,31,teamrankings,52.5,1.5,North Texas -1.5,,,,
401426533,Florida International,38,Bryant,37,Bovada,58.5,-10.5,Florida International -10.5,-10.0,54.0,,
401426533,Florida International,38,Bryant,37,William Hill (New Jersey),58.5,-10,Florida International -10,,,,
401426533,Florida International,38,Bryant,37,consensus,58.5,-10.5,Florida International -10.5,,,,
401441990,Toledo,37,Long Island University,0,Bovada,57.5,-47.0,Toledo -47.0,-47.0,55.5,,
401441990,Toledo,37,Long Island University,0,William Hill (New Jersey),55.5,-47,Toledo -47,,,,
401441990,Toledo,37,Long Island University,0,consensus,57,-47.5,Toledo -47.5,,,,
401405064,Purdue,31,Penn State,35,Bovada,53.0,3.5,Penn State -3.5,3.0,55.0,140,-165
401405064,Purdue,31,Penn State,35,William Hill (New Jersey),53.5,3.5,Penn State -3.5,,,,
401405064,Purdue,31,Penn State,35,consensus,53.5,3.5,Penn State -3.5,,,,
401405064,Purdue,31,Penn State,35,teamrankings,53.5,3.5,Penn State -3.5,,,,
401426532,Western Kentucky,38,Austin Peay,27,Bovada,73.0,-32.5,Western Kentucky -32.5,-27.5,64.5,,
401426532,Western Kentucky,38,Austin Peay,27,William Hill (New Jersey),72,-32.5,Western Kentucky -32.5,,,,
401426532,Western Kentucky,38,Austin Peay,27,consensus,72,-32.5,Western Kentucky -32.5,,,,
401404146,Utah State,31,Connecticut,20,Bovada,59.0,-23.0,Utah State -23.0,-25.0,60.5,,
401404146,Utah State,31,Connecticut,20,William Hill (New Jersey),59.5,-24,Utah State -24,,,,
401404146,Utah State,31,Connecticut,20,consensus,59.5,-24,Utah State -24,,,,
401404146,Utah State,31,Connecticut,20,teamrankings,59,-24,Utah State -24,,,,
401405058,Illinois,38,Wyoming,6,Bovada,43.0,-14.0,Illinois -14.0,-9.5,46.5,-400,300
401405058,Illinois,38,Wyoming,6,William Hill (New Jersey),43,-14,Illinois -14,,,,
401405058,Illinois,38,Wyoming,6,consensus,42.5,-14,Illinois -14,,,,
401405058,Illinois,38,Wyoming,6,teamrankings,42.5,-14,Illinois -14,,,,
401411091,North Carolina,56,Florida A&M,24,William Hill (New Jersey),56.5,-45,North Carolina -45,,,,
401411091,North Carolina,56,Florida A&M,24,consensus,56.5,-45.5,North Carolina -45.5,,,,
401411091,North Carolina,56,Florida A&M,24,Bovada,55.0,-45.0,North Carolina -45.0,-43.0,56.0,,
401426575,North Texas,45,Florida Atlantic,28,Bovada,67.5,3.0,Florida Atlantic -3.0,3.0,67.0,135,-160
401426575,North Texas,45,Florida Atlantic,28,William Hill (New Jersey),67.5,3,Florida Atlantic -3,,,,
401426575,North Texas,45,Florida Atlantic,28,consensus,67.5,3,Florida Atlantic -3,,,,
401426575,North Texas,45,Florida Atlantic,28,teamrankings,67.5,3,Florida Atlantic -3,,,,
401426586,North Texas,47,Louisiana Tech,27,Bovada,68.0,-6.5,North Texas -6.5,-6.0,71.0,-230,190
401426586,North Texas,47,Louisiana Tech,27,William Hill (New Jersey),68.5,-6.5,North Texas -6.5,,,,
401426586,North Texas,47,Louisiana Tech,27,consensus,68.5,-6.5,North Texas -6.5,,,,
401426586,North Texas,47,Louisiana Tech,27,teamrankings,68,-6.5,North Texas -6.5,,,,
401409235,New Mexico State,12,Nevada,23,Bovada,48.0,7.5,Nevada -7.5,14.0,55.5,270,-340
401409235,New Mexico State,12,Nevada,23,William Hill (New Jersey),48,7,Nevada -7,,,,
401409235,New Mexico State,12,Nevada,23,consensus,48,7,Nevada -7,,,,
401409235,New Mexico State,12,Nevada,23,teamrankings,48,7,Nevada -7,,,,
401422922,Mercer,63,Morehead State,13,Bovada,58.0,-27.5,Mercer -27.5,-28.5,60.5,,
401422922,Mercer,63,Morehead State,13,William Hill (New Jersey),56.5,-29.5,Mercer -29.5,,,,
401422922,Mercer,63,Morehead State,13,consensus,56.5,-29.5,Mercer -29.5,,,,
401426535,Charlotte,24,William & Mary,41,Bovada,52.0,-4.5,Charlotte -4.5,-2.5,52.0,-185,160
